,C1-WMCCi/WMCCj,C1-LOCCi/LOCCj,C1-NIC,C1-NCC,C2-WMCCi/WMCCj,C2-LOCCi/LOCCj,C2-NIC,C2-NCC,C3-WMCCi/WMCCj,C3-LOCCi/LOCCj,C3-NIC,C3-NCC,C4-WMCCi/WMCCj,C4-LOCCi/LOCCj,C4-NIC,C4-NCC,C5-WMCCi/WMCCj,C5-LOCCi/LOCCj,C5-NIC,C5-NCC,C6-WMCCi/WMCCj,C6-LOCCi/LOCCj,C6-NIC,C6-NCC,C7-WMCCi/WMCCj,C7-LOCCi/LOCCj,C7-NIC,C7-NCC,C8-WMCCi/WMCCj,C8-LOCCi/LOCCj,C8-NIC,C8-NCC,C9-WMCCi/WMCCj,C9-LOCCi/LOCCj,C9-NIC,C9-NCC,C10-WMCCi/WMCCj,C10-LOCCi/LOCCj,C10-NIC,C10-NCC,C11-WMCCi/WMCCj,C11-LOCCi/LOCCj,C11-NIC,C11-NCC,C12-WMCCi/WMCCj,C12-LOCCi/LOCCj,C12-NIC,C12-NCC,C13-WMCCi/WMCCj,C13-LOCCi/LOCCj,C13-NIC,C13-NCC,C14-WMCCi/WMCCj,C14-LOCCi/LOCCj,C14-NIC,C14-NCC,C15-WMCCi/WMCCj,C15-LOCCi/LOCCj,C15-NIC,C15-NCC,C16-WMCCi/WMCCj,C16-LOCCi/LOCCj,C16-NIC,C16-NCC,C17-WMCCi/WMCCj,C17-LOCCi/LOCCj,C17-NIC,C17-NCC,C18-WMCCi/WMCCj,C18-LOCCi/LOCCj,C18-NIC,C18-NCC,C19-WMCCi/WMCCj,C19-LOCCi/LOCCj,C19-NIC,C19-NCC,C20-WMCCi/WMCCj,C20-LOCCi/LOCCj,C20-NIC,C20-NCC,C21-WMCCi/WMCCj,C21-LOCCi/LOCCj,C21-NIC,C21-NCC,C22-WMCCi/WMCCj,C22-LOCCi/LOCCj,C22-NIC,C22-NCC,C23-WMCCi/WMCCj,C23-LOCCi/LOCCj,C23-NIC,C23-NCC,C24-WMCCi/WMCCj,C24-LOCCi/LOCCj,C24-NIC,C24-NCC,C25-WMCCi/WMCCj,C25-LOCCi/LOCCj,C25-NIC,C25-NCC,C26-WMCCi/WMCCj,C26-LOCCi/LOCCj,C26-NIC,C26-NCC,C27-WMCCi/WMCCj,C27-LOCCi/LOCCj,C27-NIC,C27-NCC,C28-WMCCi/WMCCj,C28-LOCCi/LOCCj,C28-NIC,C28-NCC,C29-WMCCi/WMCCj,C29-LOCCi/LOCCj,C29-NIC,C29-NCC,C30-WMCCi/WMCCj,C30-LOCCi/LOCCj,C30-NIC,C30-NCC,C31-WMCCi/WMCCj,C31-LOCCi/LOCCj,C31-NIC,C31-NCC,C32-WMCCi/WMCCj,C32-LOCCi/LOCCj,C32-NIC,C32-NCC,C33-WMCCi/WMCCj,C33-LOCCi/LOCCj,C33-NIC,C33-NCC,C34-WMCCi/WMCCj,C34-LOCCi/LOCCj,C34-NIC,C34-NCC,C35-WMCCi/WMCCj,C35-LOCCi/LOCCj,C35-NIC,C35-NCC,C36-WMCCi/WMCCj,C36-LOCCi/LOCCj,C36-NIC,C36-NCC,C37-WMCCi/WMCCj,C37-LOCCi/LOCCj,C37-NIC,C37-NCC,C38-WMCCi/WMCCj,C38-LOCCi/LOCCj,C38-NIC,C38-NCC,C39-WMCCi/WMCCj,C39-LOCCi/LOCCj,C39-NIC,C39-NCC,C40-WMCCi/WMCCj,C40-LOCCi/LOCCj,C40-NIC,C40-NCC,C41-WMCCi/WMCCj,C41-LOCCi/LOCCj,C41-NIC,C41-NCC,C42-WMCCi/WMCCj,C42-LOCCi/LOCCj,C42-NIC,C42-NCC,C43-WMCCi/WMCCj,C43-LOCCi/LOCCj,C43-NIC,C43-NCC,C44-WMCCi/WMCCj,C44-LOCCi/LOCCj,C44-NIC,C44-NCC,C45-WMCCi/WMCCj,C45-LOCCi/LOCCj,C45-NIC,C45-NCC,C46-WMCCi/WMCCj,C46-LOCCi/LOCCj,C46-NIC,C46-NCC,C47-WMCCi/WMCCj,C47-LOCCi/LOCCj,C47-NIC,C47-NCC,C48-WMCCi/WMCCj,C48-LOCCi/LOCCj,C48-NIC,C48-NCC,C49-WMCCi/WMCCj,C49-LOCCi/LOCCj,C49-NIC,C49-NCC,C50-WMCCi/WMCCj,C50-LOCCi/LOCCj,C50-NIC,C50-NCC,C51-WMCCi/WMCCj,C51-LOCCi/LOCCj,C51-NIC,C51-NCC,C52-WMCCi/WMCCj,C52-LOCCi/LOCCj,C52-NIC,C52-NCC,C53-WMCCi/WMCCj,C53-LOCCi/LOCCj,C53-NIC,C53-NCC,C54-WMCCi/WMCCj,C54-LOCCi/LOCCj,C54-NIC,C54-NCC,C55-WMCCi/WMCCj,C55-LOCCi/LOCCj,C55-NIC,C55-NCC,C56-WMCCi/WMCCj,C56-LOCCi/LOCCj,C56-NIC,C56-NCC,C57-WMCCi/WMCCj,C57-LOCCi/LOCCj,C57-NIC,C57-NCC,C58-WMCCi/WMCCj,C58-LOCCi/LOCCj,C58-NIC,C58-NCC,C59-WMCCi/WMCCj,C59-LOCCi/LOCCj,C59-NIC,C59-NCC,C60-WMCCi/WMCCj,C60-LOCCi/LOCCj,C60-NIC,C60-NCC,C61-WMCCi/WMCCj,C61-LOCCi/LOCCj,C61-NIC,C61-NCC,C62-WMCCi/WMCCj,C62-LOCCi/LOCCj,C62-NIC,C62-NCC,C63-WMCCi/WMCCj,C63-LOCCi/LOCCj,C63-NIC,C63-NCC,C64-WMCCi/WMCCj,C64-LOCCi/LOCCj,C64-NIC,C64-NCC,C65-WMCCi/WMCCj,C65-LOCCi/LOCCj,C65-NIC,C65-NCC,C66-WMCCi/WMCCj,C66-LOCCi/LOCCj,C66-NIC,C66-NCC,C67-WMCCi/WMCCj,C67-LOCCi/LOCCj,C67-NIC,C67-NCC,C68-WMCCi/WMCCj,C68-LOCCi/LOCCj,C68-NIC,C68-NCC,C69-WMCCi/WMCCj,C69-LOCCi/LOCCj,C69-NIC,C69-NCC,C70-WMCCi/WMCCj,C70-LOCCi/LOCCj,C70-NIC,C70-NCC,C71-WMCCi/WMCCj,C71-LOCCi/LOCCj,C71-NIC,C71-NCC,C72-WMCCi/WMCCj,C72-LOCCi/LOCCj,C72-NIC,C72-NCC,C73-WMCCi/WMCCj,C73-LOCCi/LOCCj,C73-NIC,C73-NCC,C74-WMCCi/WMCCj,C74-LOCCi/LOCCj,C74-NIC,C74-NCC,C75-WMCCi/WMCCj,C75-LOCCi/LOCCj,C75-NIC,C75-NCC,C76-WMCCi/WMCCj,C76-LOCCi/LOCCj,C76-NIC,C76-NCC,C77-WMCCi/WMCCj,C77-LOCCi/LOCCj,C77-NIC,C77-NCC,C78-WMCCi/WMCCj,C78-LOCCi/LOCCj,C78-NIC,C78-NCC,C79-WMCCi/WMCCj,C79-LOCCi/LOCCj,C79-NIC,C79-NCC,C80-WMCCi/WMCCj,C80-LOCCi/LOCCj,C80-NIC,C80-NCC,C81-WMCCi/WMCCj,C81-LOCCi/LOCCj,C81-NIC,C81-NCC,C82-WMCCi/WMCCj,C82-LOCCi/LOCCj,C82-NIC,C82-NCC,C83-WMCCi/WMCCj,C83-LOCCi/LOCCj,C83-NIC,C83-NCC,C84-WMCCi/WMCCj,C84-LOCCi/LOCCj,C84-NIC,C84-NCC
C11,4.8,1,0,0,6.3,1,0,0,0.2,1,0,0,4.8,1,0,0,1.1,1,0,0,0,1,0,0,2.7,1,0,0,9.5,1,0,0,0.7,1,0,0,0,1,0,0,1,1,0,0,2.4,1,0,0,1.1,1,0,0,4.8,1,0,0,3.8,1,0,0,1.4,1,0,0,0.3,1,0,0,3.2,1,0,0,6.3,1,0,0,19,1,0,0,0,1,0,0,9.5,1,0,0,3.2,1,0,0,0.3,1,0,0,1.7,1,0,0,3.2,1,0,0,0,1,0,0,9.5,1,0,0,1.2,1,0,0,2.7,1,0,0,9.5,1,0,0,4.8,1,0,0,0,1,0,0,19,1,0,0,9.5,1,0,0,0.4,1,0,0,4.8,1,0,0,19,1,0,0,0.8,1,0,0,6.3,1,0,0,0,1,0,0,0.4,1,0,0,0,1,0,0,0.6,1,0,0,2.1,1,0,0,6.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.4,1,0,0,1.5,1,0,0,0.5,1,0,0,3.8,1,0,0,0.2,1,0,0,0.7,1,0,0,0.7,1,0,0,2.4,1,0,0,0.7,1,0,0,1.1,1,0,0,4.8,1,0,0,0,1,0,0,0.7,1,0,0,0.4,1,0,0,0.9,1,0,0,0.5,1,0,0,19,1,0,0,0,1,0,0,2.4,1,0,0,9.5,1,0,0,2.7,1,0,0,0.2,1,0,0,0.5,1,0,0,3.8,1,0,0,1.7,1,0,0,1.5,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.6,1,0,0,1.5,1,0,0,6.3,1,0,0,0.6,1,0,0,19,1,0,0,4.8,1,0,0
C12,2,1,0,0,2.7,1,0,0,0.1,1,0,0,2,1,0,0,0.5,1,0,0,0,1,0,0,1.1,1,0,0,4,1,0,0,0.3,1,0,0,0,1,0,0,0.4,1,0,0,1,1,0,0,0.5,1,0,0,2,1,0,0,1.6,1,0,0,0.6,1,0,0,0.1,1,0,0,1.3,1,0,0,2.7,1,0,0,8,1,0,0,0,1,0,0,4,1,0,0,1.3,1,0,0,0.1,1,0,0,0.7,1,0,0,1.3,1,0,0,0,1,0,0,4,1,0,0,0.5,1,0,0,1.1,1,0,0,4,1,0,0,2,1,0,0,0,1,0,0,8,1,0,0,4,1,0,0,0.2,1,0,0,2,1,0,0,8,1,0,0,0.3,1,0,0,2.7,1,0,0,0,1,0,0,0.2,1,0,0,0,1,0,0,0.3,1,0,0,0.9,1,0,0,2.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0.6,1,0,0,0.2,1,0,0,1.6,1,0,0,0.1,1,0,0,0.3,1,0,0,0.3,1,0,0,1,1,0,0,0.3,1,0,0,0.5,1,0,0,2,1,0,0,0,1,0,0,0.3,1,0,0,0.2,1,0,0,0.4,1,0,0,0.2,1,0,0,8,1,0,0,0,1,0,0,1,1,0,0,4,1,0,0,1.1,1,0,0,0.1,1,0,0,0.2,1,0,0,1.6,1,0,0,0.7,1,0,0,0.6,1,0,0,0,1,0,0,0.4,1,0,0,0,1,0,0,0.3,1,0,0,0.6,1,0,0,2.7,1,0,0,0.3,1,0,0,8,1,0,0,2,1,0,0
C13,4.3,1,0,0,5.7,1,0,0,0.2,1,0,0,4.3,1,0,0,1,1,0,0,0,1,0,0,2.4,1,0,0,8.5,1,0,0,0.6,1,0,0,0,1,0,0,0.9,1,0,0,2.1,1,0,0,1,1,0,0,4.3,1,0,0,3.4,1,0,0,1.2,1,0,0,0.3,1,0,0,2.8,1,0,0,5.7,1,0,0,17,1,0,0,0,1,0,0,8.5,1,0,0,2.8,1,0,0,0.3,1,0,0,1.5,1,0,0,2.8,1,0,0,0,1,0,0,8.5,1,0,0,1.1,1,0,0,2.4,1,0,0,8.5,1,0,0,4.3,1,0,0,0,1,0,0,17,1,0,0,8.5,1,0,0,0.3,1,0,0,4.3,1,0,0,17,1,0,0,0.7,1,0,0,5.7,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0.5,1,0,0,1.9,1,0,0,5.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.1,1,0,0,1.3,1,0,0,0.5,1,0,0,3.4,1,0,0,0.2,1,0,0,0.6,1,0,0,0.7,1,0,0,2.1,1,0,0,0.6,1,0,0,1,1,0,0,4.3,1,0,0,0,1,0,0,0.6,1,0,0,0.3,1,0,0,0.8,1,0,0,0.4,1,0,0,17,1,0,0,0,1,0,0,2.1,1,0,0,8.5,1,0,0,2.4,1,0,0,0.2,1,0,0,0.5,1,0,0,3.4,1,0,0,1.5,1,0,0,1.3,1,0,0,0,1,0,0,0.9,1,0,0,0,1,0,0,0.5,1,0,0,1.3,1,0,0,5.7,1,0,0,0.6,1,0,0,17,1,0,0,4.3,1,0,0
C14,1,1,0,0,1.3,1,0,0,0,1,0,0,1,1,0,0,0.2,1,0,0,0,1,0,0,0.6,1,0,0,2,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.5,1,0,0,0.2,1,0,0,1,1,0,0,0.8,1,0,0,0.3,1,0,0,0.1,1,0,0,0.7,1,0,0,1.3,1,0,0,4,1,0,0,0,1,0,0,2,1,0,0,0.7,1,0,0,0.1,1,0,0,0.4,1,0,0,0.7,1,0,0,0,1,0,0,2,1,0,0,0.3,1,0,0,0.6,1,0,0,2,1,0,0,1,1,0,0,0,1,0,0,4,1,0,0,2,1,0,0,0.1,1,0,0,1,1,0,0,4,1,0,0,0.2,1,0,0,1.3,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.4,1,0,0,1.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.5,1,0,0,0.3,1,0,0,0.1,1,0,0,0.8,1,0,0,0,1,0,0,0.1,1,0,0,0.2,1,0,0,0.5,1,0,0,0.1,1,0,0,0.2,1,0,0,1,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0.2,1,0,0,0.1,1,0,0,4,1,0,0,0,1,0,0,0.5,1,0,0,2,1,0,0,0.6,1,0,0,0,1,0,0,0.1,1,0,0,0.8,1,0,0,0.4,1,0,0,0.3,1,0,0,0,1,0,0,0.2,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,1.3,1,0,0,0.1,1,0,0,4,1,0,0,1,1,0,0
C15,1.3,1,0,0,1.7,1,0,0,0.1,1,0,0,1.3,1,0,0,0.3,1,0,0,0,1,0,0,0.7,1,0,0,2.5,1,0,0,0.2,1,0,0,0,1,0,0,0.3,1,0,0,0.6,1,0,0,0.3,1,0,0,1.3,1,0,0,1,1,0,0,0.4,1,0,0,0.1,1,0,0,0.8,1,0,0,1.7,1,0,0,5,1,0,0,0,1,0,0,2.5,1,0,0,0.8,1,0,0,0.1,1,0,0,0.5,1,0,0,0.8,1,0,0,0,1,0,0,2.5,1,0,0,0.3,1,0,0,0.7,1,0,0,2.5,1,0,0,1.3,1,0,0,0,1,0,0,5,1,0,0,2.5,1,0,0,0.1,1,0,0,1.3,1,0,0,5,1,0,0,0.2,1,0,0,1.7,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.6,1,0,0,1.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.6,1,0,0,0.4,1,0,0,0.1,1,0,0,1,1,0,0,0.1,1,0,0,0.2,1,0,0,0.2,1,0,0,0.6,1,0,0,0.2,1,0,0,0.3,1,0,0,1.3,1,0,0,0,1,0,0,0.2,1,0,0,0.1,1,0,0,0.2,1,0,0,0.1,1,0,0,5,1,0,0,0,1,0,0,0.6,1,0,0,2.5,1,0,0,0.7,1,0,0,0,1,0,0,0.1,1,0,0,1,1,0,0,0.5,1,0,0,0.4,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0.2,1,0,0,0.4,1,0,0,1.7,1,0,0,0.2,1,0,0,5,1,0,0,1.3,1,0,0
C16,3.5,1,0,0,4.7,1,0,0,0.1,1,0,0,3.5,1,0,0,0.8,1,0,0,0,1,0,0,2,1,0,0,7,1,0,0,0.5,1,0,0,0,1,0,0,0.7,1,0,0,1.8,1,0,0,0.8,1,0,0,3.5,1,0,0,2.8,1,0,0,1,1,0,0,0.2,1,0,0,2.3,1,0,0,4.7,1,0,0,14,1,0,0,0,1,0,0,7,1,0,0,2.3,1,0,0,0.2,1,0,0,1.3,1,0,0,2.3,1,0,0,0,1,0,0,7,1,0,0,0.9,1,0,0,2,1,0,0,7,1,0,0,3.5,1,0,0,0,1,0,0,14,1,0,0,7,1,0,0,0.3,1,0,0,3.5,1,0,0,14,1,0,0,0.6,1,0,0,4.7,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0.5,1,0,0,1.6,1,0,0,4.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.8,1,0,0,1.1,1,0,0,0.4,1,0,0,2.8,1,0,0,0.2,1,0,0,0.5,1,0,0,0.5,1,0,0,1.8,1,0,0,0.5,1,0,0,0.8,1,0,0,3.5,1,0,0,0,1,0,0,0.5,1,0,0,0.3,1,0,0,0.7,1,0,0,0.3,1,0,0,14,1,0,0,0,1,0,0,1.8,1,0,0,7,1,0,0,2,1,0,0,0.1,1,0,0,0.4,1,0,0,2.8,1,0,0,1.3,1,0,0,1.1,1,0,0,0,1,0,0,0.7,1,0,0,0,1,0,0,0.5,1,0,0,1.1,1,0,0,4.7,1,0,0,0.5,1,0,0,14,1,0,0,3.5,1,0,0
C17,14.3,1,0,0,19,1,0,0,0.6,1,0,0,14.3,1,0,0,3.4,1,0,0,0,1,0,0,8.1,1,0,0,28.5,1,0,0,2,1,0,0,0,1,0,0,3,1,0,0,7.1,1,0,0,3.4,1,0,0,14.3,1,0,0,11.4,1,0,0,4.1,1,0,0,1,1,0,0,9.5,1,0,0,19,1,0,0,57,1,0,0,0,1,0,0,28.5,1,0,0,9.5,1,0,0,0.9,1,0,0,5.2,1,0,0,9.5,1,0,0,0,1,0,0,28.5,1,0,0,3.6,1,0,0,8.1,1,0,0,28.5,1,0,0,14.3,1,0,0,0,1,0,0,57,1,0,0,28.5,1,0,0,1.1,1,0,0,14.3,1,0,0,57,1,0,0,2.5,1,0,0,19,1,0,0,0,1,0,0,1.1,1,0,0,0,1,0,0,1.8,1,0,0,6.3,1,0,0,19,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7.1,1,0,0,4.4,1,0,0,1.6,1,0,0,11.4,1,0,0,0.6,1,0,0,2,1,0,0,2.2,1,0,0,7.1,1,0,0,2.1,1,0,0,3.4,1,0,0,14.3,1,0,0,0,1,0,0,2,1,0,0,1.1,1,0,0,2.7,1,0,0,1.4,1,0,0,57,1,0,0,0,1,0,0,7.1,1,0,0,28.5,1,0,0,8.1,1,0,0,0.5,1,0,0,1.6,1,0,0,11.4,1,0,0,5.2,1,0,0,4.4,1,0,0,0,1,0,0,2.9,1,0,0,0,1,0,0,1.8,1,0,0,4.4,1,0,0,19,1,0,0,1.9,1,0,0,57,1,0,0,14.3,1,0,0
C18,1.5,1,0,0,2,1,0,0,0.1,1,0,0,1.5,1,0,0,0.4,1,0,0,0,1,0,0,0.9,1,0,0,3,1,0,0,0.2,1,0,0,0,1,0,0,0.3,1,0,0,0.8,1,0,0,0.4,1,0,0,1.5,1,0,0,1.2,1,0,0,0.4,1,0,0,0.1,1,0,0,1,1,0,0,2,1,0,0,6,1,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0.1,1,0,0,0.5,1,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0.4,1,0,0,0.9,1,0,0,3,1,0,0,1.5,1,0,0,0,1,0,0,6,1,0,0,3,1,0,0,0.1,1,0,0,1.5,1,0,0,6,1,0,0,0.3,1,0,0,2,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.7,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.8,1,0,0,0.5,1,0,0,0.2,1,0,0,1.2,1,0,0,0.1,1,0,0,0.2,1,0,0,0.2,1,0,0,0.8,1,0,0,0.2,1,0,0,0.4,1,0,0,1.5,1,0,0,0,1,0,0,0.2,1,0,0,0.1,1,0,0,0.3,1,0,0,0.1,1,0,0,6,1,0,0,0,1,0,0,0.8,1,0,0,3,1,0,0,0.9,1,0,0,0.1,1,0,0,0.2,1,0,0,1.2,1,0,0,0.5,1,0,0,0.5,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0.2,1,0,0,0.5,1,0,0,2,1,0,0,0.2,1,0,0,6,1,0,0,1.5,1,0,0
C19,0.8,1,0,0,1,1,0,0,0,1,0,0,0.8,1,0,0,0.2,1,0,0,0,1,0,0,0.4,1,0,0,1.5,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.4,1,0,0,0.2,1,0,0,0.8,1,0,0,0.6,1,0,0,0.2,1,0,0,0.1,1,0,0,0.5,1,0,0,1,1,0,0,3,1,0,0,0,1,0,0,1.5,1,0,0,0.5,1,0,0,0,1,0,0,0.3,1,0,0,0.5,1,0,0,0,1,0,0,1.5,1,0,0,0.2,1,0,0,0.4,1,0,0,1.5,1,0,0,0.8,1,0,0,0,1,0,0,3,1,0,0,1.5,1,0,0,0.1,1,0,0,0.8,1,0,0,3,1,0,0,0.1,1,0,0,1,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.4,1,0,0,0.2,1,0,0,0.1,1,0,0,0.6,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0.4,1,0,0,0.1,1,0,0,0.2,1,0,0,0.8,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0.1,1,0,0,0.1,1,0,0,3,1,0,0,0,1,0,0,0.4,1,0,0,1.5,1,0,0,0.4,1,0,0,0,1,0,0,0.1,1,0,0,0.6,1,0,0,0.3,1,0,0,0.2,1,0,0,0,1,0,0,0.2,1,0,0,0,1,0,0,0.1,1,0,0,0.2,1,0,0,1,1,0,0,0.1,1,0,0,3,1,0,0,0.8,1,0,0
C20,0.3,1,0,0,0.3,1,0,0,0,1,0,0,0.3,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.5,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0.1,1,0,0,0.3,1,0,0,0.2,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.3,1,0,0,1,1,0,0,0,1,0,0,0.5,1,0,0,0.2,1,0,0,0,1,0,0,0.1,1,0,0,0.2,1,0,0,0,1,0,0,0.5,1,0,0,0.1,1,0,0,0.1,1,0,0,0.5,1,0,0,0.3,1,0,0,0,1,0,0,1,1,0,0,0.5,1,0,0,0,1,0,0,0.3,1,0,0,1,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.1,1,0,0,0.5,1,0,0,0.1,1,0,0,0,1,0,0,0,1,0,0,0.2,1,0,0,0.1,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,0,1,0,0,1,1,0,0,0.3,1,0,0
C21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
C22,0.5,1,0,0,0.7,1,0,0,0,1,0,0,0.5,1,0,0,0.1,1,0,0,0,1,0,0,0.3,1,0,0,1,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.3,1,0,0,0.1,1,0,0,0.5,1,0,0,0.4,1,0,0,0.1,1,0,0,0,1,0,0,0.3,1,0,0,0.7,1,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0.3,1,0,0,0,1,0,0,0.2,1,0,0,0.3,1,0,0,0,1,0,0,1,1,0,0,0.1,1,0,0,0.3,1,0,0,1,1,0,0,0.5,1,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1,0,0,0.5,1,0,0,2,1,0,0,0.1,1,0,0,0.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.1,1,0,0,0.2,1,0,0,0.7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.3,1,0,0,0.2,1,0,0,0.1,1,0,0,0.4,1,0,0,0,1,0,0,0.1,1,0,0,0.1,1,0,0,0.3,1,0,0,0.1,1,0,0,0.1,1,0,0,0.5,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0.3,1,0,0,1,1,0,0,0.3,1,0,0,0,1,0,0,0.1,1,0,0,0.4,1,0,0,0.2,1,0,0,0.2,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.1,1,0,0,0.2,1,0,0,0.7,1,0,0,0.1,1,0,0,2,1,0,0,0.5,1,0,0
C23,1.5,1,0,0,2,1,0,0,0.1,1,0,0,1.5,1,0,0,0.4,1,0,0,0,1,0,0,0.9,1,0,0,3,1,0,0,0.2,1,0,0,0,1,0,0,0.3,1,0,0,0.8,1,0,0,0.4,1,0,0,1.5,1,0,0,1.2,1,0,0,0.4,1,0,0,0.1,1,0,0,1,1,0,0,2,1,0,0,6,1,0,0,0,1,0,0,3,1,0,0,1,1,0,0,0.1,1,0,0,0.5,1,0,0,1,1,0,0,0,1,0,0,3,1,0,0,0.4,1,0,0,0.9,1,0,0,3,1,0,0,1.5,1,0,0,0,1,0,0,6,1,0,0,3,1,0,0,0.1,1,0,0,1.5,1,0,0,6,1,0,0,0.3,1,0,0,2,1,0,0,0,1,0,0,0.1,1,0,0,0,1,0,0,0.2,1,0,0,0.7,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.8,1,0,0,0.5,1,0,0,0.2,1,0,0,1.2,1,0,0,0.1,1,0,0,0.2,1,0,0,0.2,1,0,0,0.8,1,0,0,0.2,1,0,0,0.4,1,0,0,1.5,1,0,0,0,1,0,0,0.2,1,0,0,0.1,1,0,0,0.3,1,0,0,0.1,1,0,0,6,1,0,0,0,1,0,0,0.8,1,0,0,3,1,0,0,0.9,1,0,0,0.1,1,0,0,0.2,1,0,0,1.2,1,0,0,0.5,1,0,0,0.5,1,0,0,0,1,0,0,0.3,1,0,0,0,1,0,0,0.2,1,0,0,0.5,1,0,0,2,1,0,0,0.2,1,0,0,6,1,0,0,1.5,1,0,0
